batch_idx,global_batch_idx,timestamp,total_queries,successful_queries,failed_queries,avg_generation_time,avg_judging_time,avg_training_time,avg_reward,avg_loss,total_tokens,memory_usage
0,0,1747410743.589869,10,10,0,22.49387719631195,0.8459098815917969,0.314125657081604,1.0375974982976914,289.23430252075195,1266,46000.27587890625
0,0,1747411666.8329005,20,20,0,24.936880254745482,0.8107185959815979,0.3104430079460144,1.1639437541365623,355.56753425598146,2739,46000.76513671875
0,1,1747411911.612941,30,30,0,24.39878341356913,0.8009609381357828,0.3029686689376831,1.155310834447543,353.4340446472168,4107,45996.61083984375
0,1,1747412215.5102649,40,40,0,25.631783539056777,0.7838201880455017,0.29973565340042113,1.175246871262789,359.17788944244387,5686,45988.29833984375
1,1,1747414907.7792172,50,50,0,25.093956212997437,0.7804624176025391,0.2973241567611694,1.1662054985761643,346.3787809753418,7120,45996.3759765625
1,2,1747415142.6002467,60,60,0,24.639138174057006,0.7829862038294474,0.29534385601679486,1.1608258321881295,346.1452411651611,8615,45997.11474609375
1,2,1747415439.6728535,70,70,0,25.056821206637792,0.9288101639066424,0.2956078904015677,1.16547249853611,348.8657262529646,10303,46000.544921875
2,2,1747415709.8673267,80,80,0,25.146756500005722,0.9269018560647965,0.2950479447841644,1.16795093677938,353.6720976829529,11777,46000.5341796875
2,3,1747415975.0035684,90,90,0,25.164819298850166,0.9214777363671197,0.2945448531044854,1.1621169437964753,351.42643441094293,13361,46001.27294921875
2,3,1747416265.8762658,100,100,0,25.452786762714386,0.9012980031967163,0.2937908673286438,1.1472500005364417,348.9217246246338,14972,46000.29931640625
3,3,1747416559.4568746,110,110,0,25.64158486886458,0.9557798580689864,0.29356473142450507,1.1486211351372981,347.9686605973677,16434,45999.31005859375
3,3,1747416802.8207664,120,120,0,25.444338790575664,0.9374732911586762,0.29326966404914856,1.1495760393639407,345.8832274754842,17931,46000.29345703125
3,4,1747417014.397043,130,130,0,25.02713292011848,0.9274201246408316,0.2933542343286368,1.1446861512385884,344.0485468350924,19290,45994.916015625
4,4,1747417300.408766,140,140,0,25.20349120582853,0.9171227591378348,0.2926856313432966,1.1295741049306733,338.7582505907331,20944,46000.5322265625
4,4,1747417541.9792874,150,150,0,25.041638323465982,0.9259385379155477,0.29292394002278643,1.126555998126666,339.21420984903966,22379,45990.99609375
4,5,1747417806.9510076,160,160,0,25.049987015128135,0.9302900299429894,0.2927633702754974,1.1191382793709639,337.1250403881073,24024,45998.5849609375
4,5,1747418036.9076157,170,170,0,24.85902648533092,0.92637760218452,0.2926548354765948,1.1199529397137027,337.2144721087289,25307,46000.0576171875
5,5,1747418275.431112,180,180,0,24.741574663586086,0.9198512037595113,0.2922716591093275,1.1207398601704175,336.86079538133424,27013,46000.046875
