batch_idx,global_batch_idx,timestamp,total_queries,successful_queries,failed_queries,avg_generation_time,avg_judging_time,avg_training_time,avg_reward,avg_loss,total_tokens,memory_usage
5,6,1747418603.4223523,190,190,0,25.102783671178315,0.9148050734871312,0.2944801493694908,1.1254948674063936,341.0785806354724,28901,45999.80712890625
5,6,1747418863.8205435,200,200,0,25.086878315210342,0.9121396446228027,0.2941509997844696,1.1249544994533063,340.21629756927496,30277,45999.32275390625
6,6,1747419129.01257,210,210,0,25.09864979585012,0.9090544269198463,0.29439630054292226,1.1218065470457075,340.5226742335729,31956,46000.53515625
6,7,1747419366.9860024,220,220,0,24.981147599220275,0.910973765633323,0.29415933110497217,1.12258772673932,340.0583997206255,33343,45989.53125
6,7,1747419669.3722494,230,230,0,25.163820672035218,0.9033212869063668,0.29371126009070353,1.1229841303566228,339.73637469747797,35058,46000.544921875
7,7,1747419909.477793,240,240,0,25.072889272371928,0.8945807019869486,0.2937216858069102,1.1234255205839871,339.23180421193445,36383,46000.5341796875
0,8,1747420646.6427522,250,250,0,25.13265953731537,0.8896941080093383,0.2942996883392334,1.1260814989805221,339.85180999755863,37935,46000.5205078125
0,8,1747420870.47449,260,260,0,24.982278378193197,0.8874432261173542,0.2942935870243953,1.1281939409100092,340.48526347233707,39156,46000.77001953125
0,8,1747421130.1568353,270,270,0,24.97839110604039,0.8829890259989985,0.2940266450246175,1.1211401836739645,338.6880216810439,40784,46000.77490234375
1,9,1747423892.361632,280,280,0,24.88111901283264,0.8786148658820561,0.29387747389929636,1.1146826772817546,335.87528611591887,42341,45990.26025390625
1,9,1747424120.9601693,290,290,0,24.77466752446931,0.8738851613011853,0.2937049857501326,1.1144712920846611,335.2644638587688,43684,46000.5400390625
1,9,1747424352.686868,300,300,0,24.685400024255117,0.8695525677998861,0.29377948204676313,1.1134547488888105,334.9402199300129,45344,45996.875
2,10,1747424620.9573407,310,310,0,24.71964949407885,0.8657143508234332,0.2937343458975515,1.1174674179284803,336.19268562562996,46773,46001.0234375
2,10,1747424934.421941,320,320,0,24.886842593550682,0.8681278966367245,0.2938822731375694,1.1133215610869232,335.3245512485504,48623,46000.5390625
2,10,1747425188.7933865,330,330,0,24.868699937878233,0.8668742526661266,0.29368135929107664,1.1141061344833085,335.4238304831765,50356,46000.29931640625
3,10,1747425424.370575,340,340,0,24.799203156723696,0.8627517412690555,0.29352632971370923,1.1155048514990245,335.6098730648265,51933,46001.0224609375
3,11,1747425701.033746,350,350,0,24.85017020225525,0.8594142164502825,0.2937812464577811,1.116872070431709,337.0980063738142,53372,45995.15576171875
3,11,1747425938.708222,360,360,0,24.787957719299527,0.8585845788319906,0.29371370342042713,1.1160965266327059,337.996251127455,54891,46000.29833984375
4,11,1747426154.5986497,370,370,0,24.672134307912877,0.856048710926159,0.29348759071247,1.1191947283777028,338.83084399249105,56191,46001.5107421875
4,12,1747426433.928273,380,380,0,24.72579820658031,0.8569084562753376,0.29357579381842364,1.118348354179608,339.6237662867496,57820,46001.0263671875
4,12,1747426660.6325452,390,390,0,24.64581320469196,0.8540533444820306,0.29332743485768636,1.1213305755303458,340.1572026961891,59128,46002.4990234375
4,12,1747426937.7327492,400,400,0,24.69591555953026,0.8512157273292541,0.29313423693180085,1.1224706862121823,340.791991004944,60799,46000.0576171875
5,13,1747427169.65882,410,410,0,24.633626255174963,0.8488993586563482,0.29288293908282026,1.1221659748292554,340.24754489805656,62243,46000.29150390625
5,13,1747427399.8861887,420,420,0,24.571144183476765,0.8451125400406974,0.2928098105248951,1.1212427964522726,340.4594422476634,63663,46000.29638671875
5,13,1747427659.5339303,430,430,0,24.57943065720935,0.8421565460604291,0.2926638403604197,1.1203781385061358,340.1876361935639,65111,45996.63134765625
6,14,1747427877.8679206,440,440,0,24.49322551109574,0.8395326083356683,0.2924796624617143,1.1202106807042256,339.7914493560792,66570,45989.77099609375
6,14,1747428132.5906694,450,450,0,24.485358566708037,0.843122476471795,0.2926084105173747,1.1205663883023795,340.23592312283,68245,46000.5400390625
6,14,1747428353.7675056,460,460,0,24.41153082381124,0.8401255073754684,0.29255093543425853,1.1165908146811574,338.48392453401,69762,46000.30029296875
7,15,1747428606.0206878,470,470,0,24.40660460045997,0.8375515699386596,0.2925180881581408,1.1185853183903598,338.45739947379917,71286,46000.28955078125
7,15,1747428829.455964,480,480,0,24.340089445312817,0.8367858941356341,0.29259462604920067,1.1193359363203252,338.60766763687144,72690,45998.33740234375
7,15,1747429054.1231093,490,490,0,24.280135911338185,0.834876299877556,0.2924889170393652,1.1187020398524348,337.9604060893157,73926,46000.78857421875
8,15,1747429324.318351,500,500,0,24.313560453414915,0.8330977802276611,0.29241663455963135,1.11908779925108,339.03314352417004,75456,45996.61865234375
0,16,1747431418.3242319,510,510,0,24.258664812761193,0.8348662409127927,0.2932526134977153,1.1203790190757494,339.0447686887256,76616,46000.27587890625
0,16,1747431685.0195575,520,520,0,24.284399428734414,0.8331825678165142,0.2931806183778322,1.1205396627577455,338.84488859910243,78245,46000.525390625
0,17,1747431941.3121812,530,530,0,24.28956348086303,0.8315186918906445,0.2931036418338991,1.1213752350154917,339.0534359050248,79657,45999.79638671875
1,17,1747434701.0057912,540,540,0,24.241480784504503,0.832427465474164,0.2931602544254726,1.1220380549629534,338.9971108613192,80982,46001.513671875
1,17,1747434957.842711,550,550,0,24.248485987836663,0.83062321359461,0.29304671764373774,1.1209892719984058,338.6155268998581,82511,45993.68994140625
1,17,1747435220.964716,560,560,0,24.266413704412326,0.8285834248576845,0.2932597249746322,1.1217703563294243,339.65864282335565,84138,46001.27880859375
2,18,1747435570.1428692,570,570,0,24.434497726591008,0.826689318606728,0.293527853279783,1.119823025768264,339.0172090764633,86110,46000.5341796875
2,18,1747435834.6512687,580,580,0,24.44780532491618,0.8278937882390516,0.29360634992862567,1.1199927148633995,339.17605772347304,87561,46000.29443359375
2,18,1747436069.4631593,590,590,0,24.41349804239758,0.8259261131286622,0.29377225011082014,1.118143982755936,338.5907080181576,88972,46000.5439453125
3,19,1747436352.1725004,600,600,0,24.46026780684789,0.8239391970634461,0.2938529213269551,1.1197290415068466,339.4977912139895,90481,46001.51171875
3,19,1747436620.516204,610,610,0,24.48203098500361,0.8221538289648588,0.29385723520497803,1.1204320898310083,339.2345343167667,91712,46000.5380859375
3,19,1747436918.8896756,620,620,0,24.551640364431567,0.820363325072873,0.2938112816502971,1.1194468139160065,338.85110111851867,93559,46000.54296875
4,20,1747437157.7460005,630,630,0,24.52442586157057,0.8187712839671544,0.29373591703081886,1.117272142001561,338.37806391640333,94967,45995.39453125
4,20,1747437402.027756,640,640,0,24.50649589188397,0.8171158473938703,0.2937071800231933,1.1170929677784442,338.6649728775026,96479,46001.0263671875
4,20,1747437661.9504166,650,650,0,24.509868727463942,0.8187651318770188,0.2937474470872145,1.1162584219529077,338.2983265333911,98005,46001.5205078125
4,21,1747437919.3704224,660,660,0,24.51281248222698,0.8170869032541911,0.29368818420352355,1.1169268930500205,338.1202852422542,99539,46000.30224609375
5,21,1747438133.4850526,670,670,0,24.4483303938339,0.818520759468648,0.2936630373570456,1.1171554842101994,338.6700459950007,100878,45996.376953125
5,21,1747438392.987465,680,680,0,24.454292334177914,0.8172743948066936,0.2937946414246278,1.1174443374661838,338.4785612891703,102287,46000.541015625
5,22,1747438659.0219898,690,690,0,24.469675416877305,0.8164126451464667,0.29366827633069903,1.116610144013944,338.6351572340813,103852,45999.81201171875
6,22,1747438922.4729075,700,700,0,24.48144851548331,0.8150524619647435,0.2936101283345903,1.1179251778125763,339.2925687190466,105553,46000.77978515625
6,22,1747439182.8148842,710,710,0,24.48792766920278,0.8144041746435031,0.2935171718328771,1.1166982036241344,338.987266637238,106961,45991.24365234375
6,22,1747439438.6988537,720,720,0,24.488780399163563,0.813009265727467,0.2934310936265521,1.1149070828325218,338.31174140506334,108484,46000.0556640625
7,23,1747439706.2209196,730,730,0,24.505753471426768,0.8114121518722952,0.2933647704451051,1.113472773114296,337.85528791244724,110049,46001.0234375
7,23,1747439973.8867414,740,740,0,24.522176492214204,0.8101905526341618,0.29331339533264567,1.112724120713569,337.6169868366138,111834,46001.517578125
7,23,1747440230.4479034,750,750,0,24.52312507279714,0.8092457653681437,0.2932443615595499,1.1144170657793677,338.0432225240071,113173,45990.75830078125
8,24,1747440513.1647422,760,760,0,24.558917685245213,0.8078563238445081,0.2931900074607447,1.1160125649289079,339.03467251627063,114990,46000.28857421875
8,24,1747440758.694177,770,770,0,24.543435145353342,0.8085410892189323,0.2931528267922339,1.1145987328770877,338.76114391970935,116689,45992.22021484375
8,24,1747440990.9918582,780,780,0,24.51286845818544,0.8076742184467804,0.2931663763828766,1.1144658643465781,338.5445176442463,118134,45990.26806640625
9,25,1747441306.0410833,790,790,0,24.58802051725267,0.8067130441907086,0.2930794749078871,1.1138028786152232,338.4102773062789,119816,46000.77685546875
9,25,1747441530.8556845,800,800,0,24.54855513304472,0.80574213296175,0.29299146234989165,1.1152310614287861,338.75216063499437,121199,46000.29248046875
9,25,1747441795.151767,810,810,0,24.55816151212763,0.8054192242798982,0.2929324744660177,1.115507560747642,339.022644730556,122712,46000.5419921875
9,26,1747442079.6518922,820,820,0,24.591858305582186,0.8053830030487805,0.29290302061453094,1.1173155172569005,339.3469207670629,124469,45992.4736328125
10,26,1747442317.0997245,830,830,0,24.569402322424462,0.804316180010876,0.2928424849567643,1.1168689746454545,338.9220002415667,126154,46000.78076171875
10,26,1747442548.9267483,840,840,0,24.53603991043,0.8077407473609561,0.2928090453147888,1.1171205342525534,338.8723201297577,127439,45995.4033203125
10,27,1747442793.921108,850,850,0,24.52135368234971,0.8086811702391681,0.29277629543753225,1.1173109102249157,338.49696241490966,128848,46001.76904296875
0,27,1747448777.5364487,860,860,0,24.557385386699853,0.8097140431404114,0.29299197363298984,1.1187195335709776,338.88177897431115,130413,45996.11669921875
0,27,1747449044.1759384,870,870,0,24.569247791410863,0.8088442015921933,0.2931149951342878,1.1197511482512819,338.9890021050112,132128,46000.525390625
0,28,1747449313.8368974,880,880,0,24.584596979347143,0.8078330470757051,0.2930798457427457,1.118765993043781,338.4272210467944,134618,46000.5302734375
1,28,1747452237.2459257,890,890,0,24.565807201889125,0.8069322267275179,0.29300325720497716,1.1200896055845735,338.56070000294875,136042,45991.72802734375
1,28,1747452471.1593416,900,900,0,24.540733051300048,0.8063863054911296,0.2929525166087679,1.1230656654636066,339.6018990834553,137431,46001.5185546875
1,28,1747452697.833077,910,910,0,24.508690111453717,0.8054261118501097,0.2928901468004498,1.121853542655379,338.97960912683493,138940,46000.0556640625
2,29,1747453002.1753857,920,920,0,24.561429480884385,0.8047408523766891,0.2928903159887893,1.122819292091805,339.6554236370583,140727,46000.5341796875
2,29,1747453277.089168,930,930,0,24.581566646791273,0.8039508709343531,0.29286522224385236,1.123501423417881,340.27306905766955,142118,46000.5390625
2,29,1747453606.2537103,940,940,0,24.659241850832675,0.8029030203819275,0.29285743414087484,1.1252121263361992,340.6747696409833,144188,46002.25634765625
3,30,1747453904.2056592,950,950,0,24.70266710758209,0.801616570824071,0.2928473206570273,1.1237162618888052,339.9424457108346,145863,46000.28857421875
3,30,1747454154.2905748,960,960,0,24.695153697083395,0.8005684658885002,0.2928406847019989,1.1247928112745285,340.6692577362059,147428,45992.70947265625
3,30,1747454395.7140555,970,970,0,24.67816393399976,0.8002428374339625,0.29280290677375387,1.125353117333245,340.6303557091151,148979,46000.29833984375
4,31,1747454651.8805854,980,980,0,24.67540638349494,0.8010614222409774,0.2927784048781102,1.1252072437077152,340.33982551730395,150448,45998.5751953125
4,31,1747454871.865858,990,990,0,24.637818424629444,0.8002617667419741,0.29270199910558825,1.1252799482658655,340.2507752852005,151655,45991.974609375
4,31,1747455087.7219653,1000,1000,0,24.592423309326172,0.8037935762405396,0.29274983263015736,1.1257069486081601,340.361671432495,153128,46000.78662109375
4,32,1747455362.6300776,1010,1010,0,24.600117322714024,0.8132978238681755,0.29303656261746236,1.1269387113870961,340.63545647045163,154595,46001.77001953125
5,32,1747455627.8692362,1020,1020,0,24.59605411454743,0.8251081574196909,0.2931851251452576,1.1298569348220733,341.6003614537855,156137,46001.025390625
5,32,1747455907.7217083,1030,1030,0,24.609069486960625,0.8335583256286325,0.2934200270662029,1.1315457266800613,342.2523699417854,157797,46001.27490234375
5,33,1747456147.79363,1040,1040,0,24.58370889516977,0.84172375362653,0.29364675031258497,1.1334161524302684,342.66372991708596,159120,46000.056640625
6,33,1747456375.8333037,1050,1050,0,24.54734629313151,0.8497462413424537,0.29386632056463324,1.1366588558753334,343.3267047409783,160660,45991.23876953125
0,33,1747480323.6511996,1060,1060,0,24.559145745016494,0.8494531950860653,0.29397697628669,1.1340536308176115,342.5996801844182,162154,46001.009765625
0,34,1747480569.7135122,1070,1070,0,24.549900589925105,0.8481689836377295,0.2939381831160214,1.1342789007681555,342.5074309304495,163540,45991.71826171875
0,34,1747480842.3174222,1080,1080,0,24.565244939371393,0.8470565036491111,0.2938994321558209,1.1342898831875239,342.63424981435134,165241,45994.16943359375
1,34,1747483719.1520784,1090,1090,0,24.565208819153113,0.8459066931260835,0.29388806644929644,1.1338586227062648,342.30926203596476,166664,45994.17431640625
1,35,1747483997.0851786,1100,1100,0,24.584945425120267,0.8448549944704229,0.2938694921406831,1.1329868169806223,342.06005836486815,168313,45999.31689453125
1,35,1747484281.0095472,1110,1110,0,24.610177727218147,0.8433940472903553,0.2938225701048566,1.1327968682254759,341.834317422128,169994,46000.544921875
2,35,1747484551.9516466,1120,1120,0,24.623053884506227,0.8422541301165308,0.29378707217318656,1.1330539497413807,341.7946701526642,171545,45996.13037109375
2,36,1747484825.3921492,1130,1130,0,24.638125045320628,0.840954676771586,0.2937280154861179,1.1332731405190664,342.0410612325752,173060,46000.78369140625
2,36,1747485107.4867673,1140,1140,0,24.66031641228157,0.839903269734299,0.2936534078497634,1.1326110296082081,341.55988237481364,174838,46000.78857421875
3,36,1747485378.8271863,1150,1150,0,24.672987636897876,0.8386229768006698,0.2936097968142964,1.133491825020832,341.79685274207077,176281,46001.26708984375
3,37,1747485667.575856,1160,1160,0,24.700051457306433,0.8377486845542644,0.29358203246675674,1.1337065938731727,342.18961063911183,177947,46000.78271484375
3,37,1747485913.7086797,1170,1170,0,24.68887824421255,0.8382005750623523,0.2935810250094812,1.1334913879887678,342.1848330179851,179353,45995.89453125
4,37,1747486189.9431381,1180,1180,0,24.704925383955747,0.8371539041147393,0.2935359138553424,1.1341373508764536,342.68244167909785,180966,46000.77685546875
4,37,1747486462.7017708,1190,1190,0,24.717919369505232,0.836015918675591,0.29348378622231347,1.1339486337008604,342.7129482301344,182532,45996.13330078125
4,38,1747486777.3722918,1200,1200,0,24.76530792752902,0.8351024188597997,0.2935407690207162,1.1343913742899905,342.4306786155702,184466,45999.5634765625
4,38,1747487019.7784097,1210,1210,0,24.75235588944648,0.8341926917556889,0.2934458411429538,1.1346048132939786,342.2792723285266,185719,46000.30224609375
5,38,1747487311.0116682,1220,1220,0,24.779730082339928,0.8333940933962337,0.29335590933190003,1.1341878678955029,342.1304717704898,187278,46001.025390625
5,39,1747487580.2780602,1230,1230,0,24.78846739908544,0.8326857696703779,0.2933306310234999,1.1339323771193757,342.01148484392866,188785,45998.583984375
5,39,1747487857.2407546,1240,1240,0,24.803405762680114,0.8318493727714785,0.2933129893195243,1.13398024103334,342.0492838705739,190017,46000.056640625
6,39,1747488118.4539263,1250,1250,0,24.80585517807007,0.830675499534607,0.29328516044616687,1.1335634391307843,341.863136352539,191526,46000.53515625
6,40,1747488367.1246686,1260,1260,0,24.79682776379207,0.8310044689783974,0.29326463275485554,1.1341968444604735,341.9867536030118,192763,45999.5615234375
6,40,1747488589.7746668,1270,1270,0,24.768630414309463,0.8300450539025734,0.29318757920753286,1.1344421055373255,342.065050572673,194011,45995.16259765625
7,40,1747488862.6161048,1280,1280,0,24.779813360981642,0.8294574670493603,0.29318043477833255,1.1340467376168828,341.9856129407881,195552,46001.0234375
7,41,1747489125.2471986,1290,1290,0,24.782932153413462,0.8289022645284964,0.2931371688842772,1.1340664140475822,341.8384524796358,197208,46000.78369140625
7,41,1747489357.2464962,1300,1300,0,24.762730512802417,0.8280228132468004,0.29311484923729514,1.1350155569498364,342.0466108351485,198790,46001.033203125
8,41,1747489598.5193655,1310,1310,0,24.75016597536684,0.8269640129031116,0.2930581405872606,1.1330921557795923,341.32634827126054,200150,45997.59765625
8,42,1747489798.7637773,1320,1320,0,24.706597452813927,0.8260355234146118,0.2929952708157625,1.1323352075887458,340.8623331532332,201489,45987.0830078125
8,42,1747490040.2910266,1330,1330,0,24.69396493506611,0.8257296309435278,0.2930882566853572,1.132582085697276,341.13547849153196,202778,45994.67138671875
9,42,1747490312.297756,1340,1340,0,24.705057014814063,0.824773990752092,0.29302490398065356,1.1333236746378812,341.0952729751812,204357,45996.61767578125
9,42,1747490605.620852,1350,1350,0,24.73055346577256,0.8250225238446837,0.29301015924524365,1.1348143140916485,341.4635378350149,205758,46000.78173828125
9,43,1747490868.4386642,1360,1360,0,24.73437763505122,0.8241430021384183,0.29299159698626565,1.1346610288409638,341.34233701369317,207195,45999.80810546875
9,43,1747491126.0817242,1370,1370,0,24.732566423833806,0.8250733158014116,0.2929790924935444,1.1352082110669506,341.468908012,208719,45999.81298828125
10,43,1747491403.8932357,1380,1380,0,24.747311895308286,0.8242682740308236,0.292939719946488,1.135954419685448,341.83715887760735,210108,46000.046875
10,44,1747491659.3872411,1390,1390,0,24.745656169232706,0.8234562438168972,0.29289162913672345,1.1373602512929093,342.35531997131767,211682,45997.60546875
10,44,1747491934.036566,1400,1400,0,24.75648127777236,0.8238821591649736,0.29286512953894467,1.1371806603244388,342.38980849129786,213249,46000.30126953125
11,44,1747494737.773479,1410,1410,0,24.783134053615814,0.8231971297703736,0.2928602340373586,1.1367773046730274,342.2785776882304,214712,45990.015625
11,45,1747494973.1442688,1420,1420,0,24.766733228320806,0.822376039162488,0.29285493048144046,1.1365680981689792,342.08401060507305,216161,45992.466796875
11,45,1747495257.0021214,1430,1430,0,24.784891254084926,0.821525499203822,0.2928130239873498,1.1368961358820662,342.36201044896245,217679,45994.91796875
12,45,1747495486.500124,1440,1440,0,24.764910718964206,0.8207800381713444,0.2928061541583802,1.1365235236783844,342.14081652959163,219029,45997.35400390625
12,46,1747495715.9406235,1450,1450,0,24.745337743759155,0.8199061288504765,0.2927846229487451,1.1356165166969983,341.86716320169353,220370,45995.890625
12,46,1747495952.7571163,1460,1460,0,24.73082735293532,0.819299903471176,0.29275708982389254,1.1355794858442618,341.9270983656789,221922,45999.81005859375
13,46,1747496219.857921,1470,1470,0,24.73737606158873,0.8184563839516672,0.2927149253637611,1.1357478057040675,342.18459628358164,223484,46001.26708984375
13,47,1747496466.5850427,1480,1480,0,24.729959523677827,0.8177091459970216,0.2927040757359684,1.1357472462025873,342.1700902784192,224844,45992.22021484375
13,47,1747496724.2667935,1490,1490,0,24.729987769798946,0.8169425682733523,0.29272728094318556,1.1365258553684183,342.1494892709207,226411,46000.78759765625
14,47,1747497014.2786806,1500,1500,0,24.750371009349823,0.8173844302495321,0.29273971541722604,1.1373598497708666,342.453328552246,228285,46000.5322265625
14,47,1747497289.68981,1510,1510,0,24.762202157879507,0.8165007147567951,0.2926857515676131,1.1368598342731326,342.25792865879475,230036,46000.78173828125
14,48,1747497548.4200785,1520,1520,0,24.76267666628486,0.8158653347115767,0.29263579531719797,1.1368398518154523,342.3238293095637,231344,46001.27587890625
14,48,1747497862.9215488,1530,1530,0,24.79962509644577,0.8151768442852045,0.2926219125199161,1.135709427969131,341.96705761579113,233097,46000.79150390625
15,48,1747498132.0084653,1540,1540,0,24.806578096476468,0.8146807715490267,0.29258939027786246,1.1352008439503734,341.70249099236014,234592,46001.27001953125
15,49,1747498424.6491554,1550,1550,0,24.828654139887902,0.8140053813688216,0.2925835918611095,1.1343845642382122,341.3724953386859,236303,45996.13720703125
15,49,1747498685.052974,1560,1560,0,24.829601671909675,0.8135410039852827,0.29255617077534,1.1353600477943078,341.8635460731309,237792,46001.27978515625
16,49,1747498908.5047984,1570,1570,0,24.807282087605472,0.8127923871301541,0.29253859580702074,1.1356573404400232,341.82485701931495,239180,45997.599609375
16,50,1747499193.3835204,1580,1580,0,24.823062992699537,0.8131127540069291,0.2925265441966961,1.1347580218239697,341.6847288638729,240503,46000.29541015625
16,50,1747499463.547171,1590,1590,0,24.83009919310516,0.8127335326476667,0.29250226425674714,1.1338284744406673,341.4704529816248,241996,45991.4931640625
17,50,1747499733.658431,1600,1600,0,24.83711866721511,0.8122492039203644,0.2924688363075255,1.1343400932848478,341.5596773958205,243363,46000.5341796875
17,51,1747500027.2961726,1610,1610,0,24.858799844943217,0.8116044974475174,0.2924738482658906,1.1341873131183389,341.5051261570141,244961,46001.0283203125
17,51,1747500249.4244761,1620,1620,0,24.835794943644675,0.8112470779889895,0.29247963075284594,1.1345110179833449,341.36375854868936,246293,46001.033203125
18,51,1747500523.01856,1630,1630,0,24.844864839571386,0.8106977616351075,0.29246478285526195,1.134802054737246,341.43673019877224,247976,46000.77783203125
0,52,1747501229.6697638,1640,1640,0,24.84580718351573,0.8103733543942614,0.29254884647160023,1.1354283075507123,341.3334834401199,249274,45999.29736328125
0,52,1747501507.9181697,1650,1650,0,24.857579991022742,0.8097531356233539,0.2925458007870297,1.1354073026324796,341.3585919189452,250998,45994.8984375
0,52,1747501724.3307621,1660,1660,0,24.832024403078005,0.8090991241386137,0.29252666895648066,1.1356905568435995,341.3911047142671,252285,46000.28564453125
1,53,1747504545.760593,1670,1670,0,24.844582482583505,0.8084952046057421,0.2925439212136638,1.135555583488444,341.34062698272874,253760,46000.29052734375
1,53,1747504783.0702069,1680,1680,0,24.83184706426802,0.8078099571523212,0.29255629281202933,1.1356960562723046,341.37762842632463,255280,46001.029296875
1,53,1747505083.8495982,1690,1690,0,24.856718704545283,0.8072709526536027,0.2925458192825316,1.1355648074629765,341.25237408248614,256791,46000.78955078125
2,53,1747505331.788996,1700,1700,0,24.850263878878422,0.8066630878167994,0.29254142719156584,1.1356869703180668,341.4525191138771,258318,46000.77880859375
2,54,1747505611.8098328,1710,1710,0,24.862670546107818,0.8060416825333534,0.29253841059946856,1.1359690640753486,341.7138598391883,259949,45995.15673828125
2,54,1747505845.8386443,1720,1720,0,24.848151145009105,0.8054843892884809,0.2925260290156962,1.1361303630263322,341.67260976835723,261296,45993.69384765625
3,54,1747506121.960488,1730,1730,0,24.85813493880233,0.8048607110977173,0.29252874589379796,1.135653265638849,341.5615190671357,262964,46001.0224609375
3,55,1747506359.1891813,1740,1740,0,24.845586703563555,0.804287174104274,0.29251330159176336,1.1347976146587022,341.3517658935195,264306,46000.29345703125
3,55,1747506619.1851175,1750,1750,0,24.84487854616982,0.805070447921753,0.292550165585109,1.1347956711735057,341.35976400756823,265707,45999.80908203125
4,55,1747506879.5869534,1760,1760,0,24.84553869461471,0.8046958454630592,0.29259449365464113,1.1350607382810942,341.3975504051554,267219,45994.9052734375
